step_idx	obs	direct_joint_command
20	[-0.06068236380815506, -0.42339786887168884, -0.010243156924843788, 0.444503515958786, -0.009247986599802971, 0.880790650844574, -0.48898130655288696, 0.04899999871850014, -0.006901363842189312, 0.036809779703617096, -0.0019410090753808618, -0.029241511598229408, -0.011988598853349686, -0.1183813214302063, -0.03465656936168671, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.05946732312440872, -0.41507863998413086, -0.010273361578583717, 0.4116935431957245, -0.007313339039683342, 0.8470544815063477, -0.5015245079994202, 790.0]
21	[-0.061121463775634766, -0.4191448986530304, -0.010390802286565304, 0.4315950870513916, -0.009037064388394356, 0.8678266406059265, -0.49377116560935974, 0.04899999871850014, 0.023399794474244118, 0.024369746446609497, 0.0023230360820889473, -0.15927651524543762, 0.029040852561593056, -0.2351815551519394, -0.07558026164770126, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.059073686599731445, -0.4102126359939575, -0.01002111192792654, 0.40034571290016174, -0.005853863433003426, 0.8370891213417053, -0.5033865571022034, 790.0]
22	[-0.06056539714336395, -0.4160328507423401, -0.010415729135274887, 0.4164489507675171, -0.008147355169057846, 0.8522682189941406, -0.49935483932495117, 0.05000000074505806, 0.0034628689754754305, 0.05472876876592636, 0.0021861898712813854, -0.16504260897636414, 0.013853566721081734, -0.14099881052970886, -0.01808185689151287, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.05866045504808426, -0.4060502350330353, -0.009749744087457657, 0.38572371006011963, -0.004914682358503342, 0.8249163627624512, -0.5065420866012573, 790.0]
23	[-0.05947435274720192, -0.412188321352005, -0.010314103215932846, 0.4052240252494812, -0.0065980348736047745, 0.8415341973304749, -0.5023882985115051, 0.05000000074505806, 0.0031268021557480097, 0.0398193821310997, 0.0020514840725809336, -0.11903105676174164, 0.007075817324221134, -0.11138612776994705, -0.025585589930415154, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.05685202404856682, -0.4040241837501526, -0.009302075952291489, 0.37713107466697693, -0.003232421353459358, 0.8152811527252197, -0.5097490549087524, 790.0]
24	[-0.058874182403087616, -0.4079238474369049, -0.009928690269589424, 0.3919033408164978, -0.005388107616454363, 0.8301022052764893, -0.5053182244300842, 0.05000000074505806, 0.015352102927863598, 0.017503121867775917, 0.003701970912516117, -0.07171870023012161, 0.01432843878865242, -0.07220571488142014, -0.02784876897931099, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.055430926382541656, -0.4013046324253082, -0.008610637858510017, 0.3665742576122284, -0.0018397239036858082, 0.805058479309082, -0.5129673480987549, 790.0]
25	[-0.05761631950736046, -0.40500926971435547, -0.00953944306820631, 0.3817407190799713, -0.004005607217550278, 0.8201658129692078, -0.5084149241447449, 0.05000000074505806, 0.012273857370018959, 0.022732732817530632, 0.005593407899141312, -0.048973798751831055, 0.01198827475309372, -0.045627202838659286, -0.02725248597562313, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.05365438386797905, -0.3992078900337219, -0.00795260351151228, 0.35824263095855713, -0.0002074800431728363, 0.7966693043708801, -0.5157480239868164, 790.0]
26	[-0.056128356605768204, -0.40247437357902527, -0.008945025503635406, 0.3715071380138397, -0.0024908012710511684, 0.8099226951599121, -0.5114694833755493, 0.04899999871850014, 0.016020309180021286, 0.019064724445343018, 0.005934223998337984, -0.0785716250538826, 0.014710783027112484, -0.07864325493574142, 0.024153757840394974, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.052761029452085495, -0.3965820372104645, -0.0073337554931640625, 0.34957075119018555, 0.0005038999952375889, 0.7887996435165405, -0.5171490907669067, 790.0]
27	[-0.05445248261094093, -0.4000813663005829, -0.008281579241156578, 0.3623761236667633, -0.0009338107774965465, 0.8007897138595581, -0.513741672039032, 0.05000000074505806, 0.00800962932407856, 0.02468082122504711, 0.00556609220802784, -0.10235976427793503, 0.006369008682668209, -0.09654974192380905, 0.03286956995725632, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.0510883592069149, -0.3946865200996399, -0.006572594866156578, 0.34191054105758667, 0.0021000059787184, 0.7816244959831238, -0.5185331702232361, 790.0]
28	[-0.05317544564604759, -0.3975426256656647, -0.007608544547110796, 0.3531127870082855, 0.00015723303658887744, 0.7920843958854675, -0.5158010125160217, 0.04899999871850014, 0.01912507228553295, 0.02203461341559887, 0.007679078262299299, -0.1278625726699829, 0.01759125106036663, -0.11806479096412659, -0.015477903187274933, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.04875076934695244, -0.3927050828933716, -0.005505551118403673, 0.33478236198425293, 0.004314910154789686, 0.7744596600532532, -0.5212774276733398, 790.0]
29	[-0.051576267927885056, -0.39534902572631836, -0.006816626992076635, 0.34454742074012756, 0.001591505017131567, 0.7840482592582703, -0.5179869532585144, 0.04899999871850014, 0.029013125225901604, 0.023936528712511063, 0.011963682249188423, -0.13245204091072083, 0.027237245813012123, -0.13355006277561188, -0.03511110693216324, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.04655948653817177, -0.3910502791404724, -0.004538909997791052, 0.3279995024204254, 0.0061995177529752254, 0.7679017782211304, -0.523425817489624, 790.0]
